source_code;target_table;data_type;canonical_metric;available_years
AJCS26;tourism_accommodations;NUM;auberges_de_jeunesse_centres_sportifs;2025
AJCSLIT26;tourism_accommodations;NUM;lits_dans_auberges_de_jeunesse_centre_sportif;2025
AJCSUH26;tourism_accommodations;NUM;unites_d_hebergement_dans_auberges_de_jeunesse_centres_sportifs;2025
BPE_2024_A501;equipements_services;NUM;coiffure;2024
BPE_2024_B104;equipements_services;NUM;hypermarche_et_grand_magasin;2024
BPE_2024_B105;equipements_services;NUM;supermarche_et_magasin_multi_commerce;2024
BPE_2024_B201;equipements_services;NUM;superette;2024
BPE_2024_B202;equipements_services;NUM;epicerie;2024
BPE_2024_B207;equipements_services;NUM;boulangerie_patisserie;2024
BPE_2024_B316;equipements_services;NUM;station_service;2024
BPE_2024_B326;equipements_services;NUM;station_de_recharge_de_vehicules_electriques;2024
BPE_2024_C107;equipements_services;NUM;ecole_maternelle;2024
BPE_2024_C108;equipements_services;NUM;ecole_primaire;2024
BPE_2024_C109;equipements_services;NUM;ecole_elementaire;2024
BPE_2024_C201;equipements_services;NUM;college;2024
BPE_2024_C301;equipements_services;NUM;lycee_d_enseignement_general_et_ou_technologique;2024
BPE_2024_C302;equipements_services;NUM;lycee_d_enseignement_professionnel;2024
BPE_2024_C303;equipements_services;NUM;lycee_d_enseignement_agricole;2024
BPE_2024_C304;equipements_services;NUM;enseigneme_general_et_technologi_au_sein_d_un_lycee_professionn;2024
BPE_2024_C305;equipements_services;NUM;enseig_profes_au_sein_d_un_lycee_d_enseig_general_et_ou_technol;2024
BPE_2024_D250;equipements_services;NUM;psychologue;2024
BPE_2024_D265;equipements_services;NUM;medecin_generaliste;2024
BPE_2024_D277;equipements_services;NUM;chirurgien_dentiste;2024
BPE_2024_D279;equipements_services;NUM;masseur_kinesitherapeute;2024
BPE_2024_D281;equipements_services;NUM;infirmier;2024
BPE_2024_D307;equipements_services;NUM;pharmacie;2024
BPE_2024_F307;equipements_services;NUM;bibliotheque;2024
C11_ACT1564;composition;NUM;actifs_15_64_ans_compl;2011
C11_ACT1564_CS1;composition;NUM;actifs_15_64_ans_agriculteurs_exploitants_compl;2011
C11_ACT1564_CS2;composition;NUM;actifs_15_64_ans_artisans_comm_chefs_entr_compl;2011
C11_ACT1564_CS3;composition;NUM;actifs_15_64_ans_cadres_prof_intel_sup_compl;2011
C11_ACT1564_CS4;composition;NUM;actifs_15_64_ans_prof_intermediaires_compl;2011
C11_ACT1564_CS5;composition;NUM;actifs_15_64_ans_employes_compl;2011
